,text,label
25915,"Disneyland is magical no matter how you cut it, but the disaster of Radiator Springs was a bit too much. The ride broke down 5 times in one day, and we took a last ditch effort 5 minutes before closing ... we waited about 35 minutes and got on but it wasn't worth the wait ... or the stress of wondering if waiting at midnight with a 6 year old for a ride that may or may not be working by the time we get there, was a good idea. I felt sorry for the people who waited 2.5 hours!That being said, of course the trip was great and the highlight of our son's summer, I just wish we hadn't worked our last day around waiting to get on that ride, and going back and forth between parks to facilitate it. We were told that this ride has been very unreliable. Advice? (1) Go on a magic morning and have someone line up right away so you're there when the park opens or (b) have someone line up there while someone gets a fast pass at park opening (fast passes are gone within 30 mins or 60 mins of opening on a busy day (3) or wait until the novelty of the ride passes and the lineups shorten and the staff work through the ride's glitches.",1
25916,"We were on a 5 day trip to LA. Friends who had been there earlier advised us to avoid the weekend crowd. So, we decided to visit the Disney parks during weekdays. Being there early we were able to avoid the queues and finish most of the rides before lunch. Mickey's Parade was awesome. We had planned the tour around the park before visiting, so we didn't waste much time searching for attractions. What we didn't expect was the heat. Carry lot of water, drinks. It would be nice if the park management could do something to make the heat bearable. As with any amusement park, everything inside is really expensive. If possible buy your lunch outside. It is a huge park with lot of walking to do. Wear comfortable shoes. Strollers are available for rent. If possible take your own to save a few bucks. When travelling with young children, being an early bird has its own advantage. Even though our son napped for about an hour we still had enough time. Leaving the park after the fireworks was difficult because of the huge crowd. Tips:1. Stay close to the park and be as early as possible.2. Wear comfortable clothing.3. Be ready to face the heat.4. Use the online map to plan your visit and save time. 5. Make use of the FastPass facility.",1
25918,The only ride we think is past its best is the Matterhorn. A day and a half was just enough to do everything we wanted. The crowds were less than you might expect for the end of August,1
25919,"Love it!!!  Disney always does it right.  The park is smaller and more  urban  than WDW, but it is a classic!!  I want to go back already.",1
25904,"I love Disney and never get enough of the place, my daughter will be attending Cal State Fullerton and i got her a season pass while she is in school and went together before school started and it was a great way to have some fun, and have some mother daughter time before she became a big college student and i had to go back home to TX;))",1
25901,"The original Disneyland Park is a must visit, at least once (or even more). As a young couple (with no kids) we had a great time enjoying the magic of Disney.I had been about 20 years ago and was very similar to how I remembered it. This is good and bad, and perhaps would have been nice if they had enhanced the park much more than they had (were only a handful of new rides, where I would have expected much more of an overhaul).Was pretty busy which is to be expected and can be some long lines to wait for rides. The best tip is to arrive at park opening (8am) and head around to all the popular rides straight away (Splash Mountain, Indiana Jones, Roger Rabbit, Space Mountain, Star Wars, etc) and you'll have pretty much no wait   that then leaves the rest of the day to take it easy and enjoy the rest of the park and less busy rides   also make good use of the fast pass system (will save lots of waiting).We managed to see the park in a single day (8am until after the light show finishing about 10 11pm). Was a long day, but managed it even heading out of the park for a couple of hours for dinner. Probably with children, you will need at least 2 days to get around the whole park and see and do most things.Being a theme park, everything is of course designed to get you to spend money on food, clothes, gifts, etc. Some of these were reasonably priced and others a bit expensive   you are allowed to bring your own food into the park, so consider bringing some bottles of water and perhaps lunch snacks to save a few $$$",1
25884,"Whenever our girls and I think of vacation, this is where we always talk about going and always want to be.",1
25892,"We recently visited the two parks Disneyland and Disneyland California for three days. We had also been to Seaworld Legoland and Universal in the same week but more of those in other reviews.We are big fans of Dinsey having been to their parks in Orlando. if you have been to Orlando a lot of things will seem the same as this is where is all began. If you are expecting it too be very different lots of new rides etc go to California as this is the newer parkWe purchased City Pass tickets which give good discount and the park hopper feature although it is a stretch to do more than one park in a day and really enjoy it. This is important to remember dont try to do too much it will spoil your enjoyment and unless you have very resilient kids they will be tired and irritable by the days end.One thing the hopper ticket is useful for if one of you wants to be the queue volunteer. For example at the moment (it changes every day so check) The Cars land main ride is massively popular. Even the fast pass runs out before 10am. Day one it took me 20 30 mins to get fast pass around 9.30am I got tickets to retunr 7.50PM. The next day we went to disneyland then I took the families tickets to get fast pass for the radiator springs racers so we werent all standing in line. There is also a new starbucks just inside on Buena Vista so if you are an SB addict this can be your line up reward.We notice food has gone up a lot in Disney since our last visit and its not as good as Universal or Seaworld for example. $6.50 for a small hot dog $13 for a slice of pizza and if staying in the evening $9 for a wine !. They don't like you to bring food but you might be able to sneak a subway in or say you have special food for the kids. I saw another review on merchandise and agree if you have lots to buy Target  CVS etc but then again you have to hand it too Disney no one has made more gifts out of Mickey than anyone else they have lots of unique items whereas outside the park is more generic stuff.Last few things, have a rough plan it doesnt have to be military style (dont march the kids around to tick everything off it is a holiday) but a little planning will save you time and try to think about alternates, if this ride is full what's next to it.Our favourites all of Cars Land really well done (check out how it was planned in the blue cellar) California Screamin, Nemo and all the old favourites in Disneyland such as small world, space mountain, buzzlightyear to zap some aliens.Mickeys parade is great and also the new pixar parade at California. There is a hot dog stall in the Hollywood are so you can wait in the shade until the parade comes by.Lastly do keep in the shade and drink lots it was 100 plus while we were there and no cooling mist spray unlike Universal.Have fun",1
25885,"Great park, very magical. Clean and friendly staff. Great rides, short lines. Food could be better quality. Liked much more than Disney world, FL.",1
25886,There aren't enough words to describe how much fun I had at Disneyland. I felt like a kid again. So much to see and do. The rides are amazing and the night show and fireworks were spectacular,1
25887,"Me and my family (hubby, 2 kids 14&12) visited in August 2012 and had a great time. We have been to Disneyworld Florida twice and thought it would be nice to be able to compare the 2. In my opinion Disneyworld Florida wins purely because there is so much more to do there..yes size does matter!! That said we did enjoy our experience in California, the parks were walkable from our hotel, a big bonus as no costly parking fees and able to nip back to the hotel pool for a cool off if needed. We had a 6 day ticket to do Disneyland California adventures and this was definately enough if not 1 day too much..we did everything we wanted to do and some things 3 times over! Being peak season it was busy, as we were there 2 weeks we tried to avoid the weekends as this is when the park is at its busiest and we used the fast passes to good effect. The sun can be very harsh and the heat sometimes close to unbearable, but they were in the middle of a heatwave whilst we were there! Food and drinks seems expensive, expected at theme parks but they do provide water fountains throughout the parks, good for a quick thirst quench. All in all a great time had by all but its back to Florida for us!",1
25888,Never boring for there is sooooo much to see and do and eat! Your experience it different everytime you visit it. I could go all the time. Went on my honeymoon for my first marriage and of course took the kids several times while they were growing up!,1
25890,"What a great place to Honeymoon. Wait times were small because everyone was at Carsland, theres a ride or attraction for almost every Disney movie, and it's so special knowing that Walt was actually there.. We loved everything about Disneyland, and I can't wait to return",1
25891,"Its good for all ages but obviously more for the kids, a fast pass is essential, toilets are hard to find, but you will have a good time.",1
25893,Cars Land was a hoot. We actually got on all 3 of the rides. Instead of waiting in a long line we all went single and got on the ride in 30 minutes instead of 60  minutes. At Luigi's ride a hint is to put arms out and lean. A real hoot of a time.,1
25900,"Disneyland was awesome for the 2 1 2 days we were there!Favorites: Big Thunder Mountain, TeaCups, Space Mountain, Splash Mountain, Pirates of the Caribbean, Peter Pan's FlightTip: Definitely do the Fast Pass. It's free, and is so very helpful! Nothing feels better than walking straight past hundreds of people waiting an hour in line to to straight to the front.If you're not there for the parades fireworks etc., those are great times to take advantage of barely any waits at the popular rides!",1
25894,"The rides are great, but it's disheartening when you stand in line at Pixie Hollow to meet Tinkerbell and there's trash floating in the water next to the line.",1
25895,"Easy to get around, clean, attractive and fun! Could use a larger castle. All in all we liked it better than Disney World's magic kingdom.",1
25896,"I mean, it's disney; what else is there to say?? If you like Disney, this is for you. If you don't... Well you probably wouldn't consider it anyway, right?   Magic Mountain is the best ride, if you ask me.",1
25897,"I just have a few tips for families visiting Disneyland. While watching the prices inflate year after year it has really discouraged me from making any purchases at the park itself. We simply stop by the local CVS store the day before we go and let each child pick out three souvenirs gifts. Then we have them pick out post cards for Grandma, Grandpa and their friends. Now everyone is decked out in their    Disney    apparel and ready to enjoy the park. We only spend about forty dollars on souvenirs gifts and it   s the same items you would buy at the park.I also suggest packing a backpack with small snacks, band aids, hand sanitizer, a few water bottles and a blanket. Yes a blanket. Why? It gets cold in California at night and it will come in handy while watching the parade with your kiddos.Don   t rush your kids through the park; let them enjoy seeing everything us as adults take for granted. Have fun!",1
25898,"We really enjoy Disneyland  Take the time to slow down and enjoy some of the less obvious attractions and shows. exelent exelent,",1
25899,Just like being a kid again.  Glad that I got to take my girls.  One of the happiest places on earth.  You can't help but become a kid again.,1
25844,Fun for everyone! Toddlers can enjoy almost every ride! Every single worker is super nice and happy! Nobody was rude! The guy at the ice cream stand even complimented my pink fingernails! Fantasmic and the fireworks are both amazing shows!! So happy we went! Enjoyed our vacation so much!,1
25842,Disneyland consists of 2 parks plus Downtown Disney. Some things are the same as Disney World but Disneyland also has its unique attractions such as the boardwalk in California adventures. New this year is cars land a day the little Mermaid under water world. Cinderella's castle is much smaller than Florida. All in all it is all Disney magic. You will need 3 days to see and do everything in the 2 parks. Add another day for Disney shopping including Downtown Disney.Recommend the Grand Californian if you are staying on Site. Beautiful with great dining.,1
25921,I've been going to Disneyland my whole life and I can't get enough of it.  It's a great place to visit.  If you haven't been try to go during the fall or winter when the lines are shorter.  Summer was crazy.,1
25840,"This was my third trip to Disneyland as a parent. For our 7 year old it was his first trip. This was also the first trip my wife and I have made to California Adventure Park since it was under construction the last time we went as a family with my three older children. This year we went beginning on Labor Day so we could get the final day of riding Indiana Jones before a major several month long refurbishment. Then we spent a day at Universal Studio's on Tuesday, and returned to Disneyland Parks for Wednesday and Thursday. The biggest surprise was that we expected labor day to be a nightmare with the crowds, and yes it was busy, but with smart usage of the Fastpass system we never waited in any line over 25 minutes in length, and that was the Matterhorn, a non Fastpass ride. The weather was hot, 90ish all days we were there. My single biggest complaint about Disneyland Parks is why on earth they still, after all these years, do not use  cool zones  the same way that we see at Universal Studio's with the big fans blowing mist on you as you wander about the very large theme parks. In heavily sun exposed areas like Tomorrowland andCars Land it would do wonders! Overall the trip was memorable and grand. The evening shows, Fantasmic, Fireworks, and world of color, are breathtaking and very well done. I'd spend a one day park ticket just to see these shows without any rides! So to me that made the trip worth it, and them the rides make it an all day everyday fun experience. I was surprised by the size of California Adventure, so make sure you bring good walking shoes because it more than doubles the walking you once did when it was just Disneyland. The midweek crowd was less populated of course, so ride times were never over 30 minutes for any ride. Tips:Get an early fastpass for world of color and main cars ride, that race, I can't recall it's name, but the line was always awful and no offense but it's not good enough to wait over an hour for, so get a fastpass early and you will be sure to get on the ride before they run out! Fastpass World of Color asap in the morning and then save your spot over an hour in advance for awesome standing room. If your mixing a weekend and weekday trip like we did, make sure you know which attractions are only on weekends so your not disappointed on a Monday when you find things are now closed that you saw open the day before. They need to make that dole cool treats stand a fastpass attraction, the line was as long as ride lines at all hours.",1
25785,"Great rides and easy to have fun for two full days. Some trees (for shelter) and seating (for rest only, not food) would be nice.",1
25786,Glad to see that the Disney park is as much fun now as I remember.  The had the park decorated for Halloween and it was really terrific.  The Holiday mansion with Jack and Sally was really awesome.,1
25787,it was such a fantastic place to be truly happiest place on earth. I really enjoyed rides abd the line ups were about 30 but it moves faster then you think so that was a bonus. We brought water bootes with us so we saved some money there but we ate at the park but the options were not the best we had 2 sandwiches which were not good and a bottle water and the bill came to $30 but it is expected however that did not leave a sour taste cause the park was really clean overall the experience was the best i could have imagined but going to the park was a headace it was so packed with traffic so leave early,1
25788,"Having been to the Park in Florida, we were quite shocked at how small this one was and that it was located in the centre of a residential area.The rides however made up for the disappointment of the size. We managed to do everything in one day. Cast members were very friendlyand there were few queues for the attraction with the exception of the Indian Jones Ride. We booked a fastpass for that   I still preferred the Indiana Jones attraction in Florida.",1
25789,LOVE IT LOVE IT LOVE IT.  My favourite park and truly the happiest place on earth. The attention to detail blows me away.,1
25790,I love Disneyland but the weather that day was awful. It was so hot. I'll be back in October. I would stay at a closer hotel next time.,1
25791,It's been 10 years since our last visit. Great as always. We didn't realize we could bring in our own food and may have done this. Lunch for 2 was $21 so not bad but $3.99 for one cookie? I don't think so. Line ups were not an issue and they certainly are efficient at moving a crowd. We noticed that at the beginning of one ride it said wait time was 30 minutes but we time it and it was less than 15.,1
25792,We spent 12 days discovering Disneyland and still didn't do everything. The photo pass is great as we have photos of all three of us. This place is magical and we are going back in 10 weeks.,1
25793,There is just something Disney does that no one came come close to! The cast members just add to the experience even more!,1
25794,"Awesome attraction for couples, families, groups, etc.   you literally can't go wrong with a visit to Disney. Some tips:There are numerous sources for detailed tips & hints online for the two parks (Disneyland and California Adventure). Do some research before you go and save time and money.Don't expect it to be cheap   there are a number of ways to reduce costs, but you'll only have heartache if you try to nickel and dime it.Plan to spend at least three days to really see and experience the place.Mid week is typically alot fewer people in the parks so you spend less time in lines.Going in the morning just at the parks open also reduces lines for the first couple hours.Learn to use the FastPass system   this can be thoroughly researched.Use the cast members (employees)   they're a wealth of knowledge and super friendly and helpful.Enjoy! :)",1
